Site Name,FLUMEV3
Isco Quantity,Velocity
Label,Velocidad
Units,m/s
Resolution, 0,1 
Significant Digits,0

13/07/2023 06:14:00 p.m.,0,000
13/07/2023 06:16:00 p.m.,0,000
13/07/2023 06:18:00 p.m.,0,000
13/07/2023 06:20:00 p.m.,-0,030
13/07/2023 06:22:00 p.m.,0,000
13/07/2023 06:24:00 p.m.,0,000
13/07/2023 06:26:00 p.m.,0,000
13/07/2023 06:28:00 p.m.,0,000
13/07/2023 06:30:00 p.m.,0,000
13/07/2023 06:32:00 p.m.,0,000
13/07/2023 06:34:00 p.m.,0,000
13/07/2023 06:36:00 p.m.,0,000
13/07/2023 06:38:00 p.m.,-0,024
13/07/2023 06:40:00 p.m.,0,000
13/07/2023 06:42:00 p.m.,0,000
13/07/2023 06:44:00 p.m.,-0,024
13/07/2023 06:46:00 p.m.,0,000
13/07/2023 06:48:00 p.m.,0,000
13/07/2023 06:50:00 p.m.,0,000
13/07/2023 06:52:00 p.m.,0,000
13/07/2023 06:54:00 p.m.,0,000
13/07/2023 06:56:00 p.m.,0,000
13/07/2023 06:58:00 p.m.,0,000
13/07/2023 07:00:00 p.m.,0,000
13/07/2023 07:02:00 p.m.,0,000
13/07/2023 07:04:00 p.m.,0,000
13/07/2023 07:06:00 p.m.,0,000
13/07/2023 07:08:00 p.m.,0,000
13/07/2023 07:10:00 p.m.,0,000
13/07/2023 07:12:00 p.m.,0,000
13/07/2023 07:14:00 p.m.,0,000
13/07/2023 07:16:00 p.m.,0,000
13/07/2023 07:18:00 p.m.,0,000
13/07/2023 07:20:00 p.m.,0,000
13/07/2023 07:22:00 p.m.,0,000
13/07/2023 07:24:00 p.m.,0,000
13/07/2023 07:26:00 p.m.,0,000
13/07/2023 07:28:00 p.m.,0,000
13/07/2023 07:30:00 p.m.,0,000
13/07/2023 07:32:00 p.m.,0,000
13/07/2023 07:34:00 p.m.,0,000
13/07/2023 07:36:00 p.m.,0,000
13/07/2023 07:38:00 p.m.,0,000
13/07/2023 07:40:00 p.m.,0,000
13/07/2023 07:42:00 p.m.,0,000
13/07/2023 07:44:00 p.m.,0,000
13/07/2023 07:46:00 p.m.,0,000
13/07/2023 07:48:00 p.m.,0,000
13/07/2023 07:50:00 p.m.,0,000
