100,194,1130,13.25,9.57,94.5,6.034,211.1,16.03,64.41,0
100,194,1145,13.34,9.53,94.2,5.981,224.5,6.16,73.5,0
100,194,1200,13.49,9.54,93.9,5.128,231.5,27.94,88.2,0
100,194,1215,13.53,9.63,93.7,4.116,207.7,57.57,118.9,0
100,194,1230,13.53,9.62,93.8,7.15,240.2,20.58,70.6,0
100,194,1245,13.54,9.54,94,5.501,204.1,31.21,83.4,0
100,194,1300,13.54,9.63,94,5.128,238.7,66.23,126.6,0
100,194,1315,13.53,9.76,94,4.17,226.8,68.92,137.7,0
100,194,1330,13.54,9.68,93.9,5.128,220.6,42.72,117.7,0
100,194,1345,13.54,9.59,93.7,4.702,216.6,18.95,78.7,0
100,194,1400,13.52,9.2,93.5,6.62,183.9,-5.713,54.74,0
100,194,1415,13.53,9.05,93.6,3.584,234.3,37.35,82.8,0
100,194,1430,13.5,9.17,93.6,3.797,237.5,12.29,46.7,0
100,194,1445,13.56,9.13,93.7,2.465,246.5,26.63,59.37,0
100,194,1500,13.55,9.21,93.8,2.252,262.8,56.43,97.8,0
100,194,1515,13.54,9.31,93.9,3.051,315.6,51.78,90,0
100,194,1530,13.55,9.48,94.1,3.424,245.3,102.4,129.4,0
100,194,1545,13.54,9.91,94.2,4.489,251.2,149.3,168.3,0
100,194,1600,13.53,10.07,94,5.395,210.4,79.8,97.6,0
100,194,1615,13.54,10.05,93.5,5.501,216.2,75.3,86.8,0
100,194,1630,13.54,10.05,92.8,5.501,220.9,48.2,70.3,0
100,194,1645,13.55,9.95,92.2,4.436,216.9,41.4,66.25,0
100,194,1700,13.56,9.92,91.6,4.063,212.9,44.93,75.7,0
100,194,1715,13.55,9.9,91.1,4.116,237.8,22.9,57.18,0
100,194,1730,13.48,9.84,90.9,4.116,226.5,1.442,34.59,0
100,194,1745,13.41,9.73,90.7,3.637,232.4,-10.58,28.39,0
100,194,1800,13.31,9.53,90.6,3.264,234.9,-33.4,8.41,0
100,194,1815,13.24,9.27,90.6,2.305,275.8,-37.62,2.147,0
100,194,1830,13.17,9.13,90.7,3.157,257.2,-31.53,.254,0
100,194,1845,13.12,8.91,90.8,4.063,234.1,-36.37,.002,0
100,194,1900,13.06,8.75,90.5,4.17,207.3,-68.43,.008,0
100,194,1915,13.01,8.4,90.1,4.276,235.8,-75.6,.005,0
100,194,1930,12.97,8,89.8,3.104,234.9,-74.9,.012,0
100,194,1945,12.93,7.63,89.8,2.838,223.9,-73.8,.03,0
100,194,2000,12.9,7.4,90,3.051,256.5,-71.3,.061,0
100,194,2015,12.86,7.25,90.3,2.891,269.6,-64.05,.091,0
100,194,2030,12.84,7.22,90.6,2.518,267.1,-54.28,.113,0
100,194,2045,12.82,7.23,90.9,2.199,295.1,-54.36,.138,0
100,194,2100,12.79,7.16,91,2.039,259.9,-58.14,.161,0
100,194,2115,12.77,7.03,91.2,2.145,282.6,-63.01,.186,0
100,194,2130,12.75,6.843,91.5,2.358,294,-68.45,.193,0
100,194,2145,12.74,6.731,91.9,2.518,284.8,-70.6,.199,0
100,194,2200,12.73,6.742,92.2,2.944,246.5,-56.99,.199,0
100,194,2215,12.72,6.74,92.4,2.998,258.8,-50.62,.199,0
100,194,2230,12.7,6.81,92.6,2.465,278,-35.66,.198,0
100,194,2245,12.7,6.983,92.7,2.731,276.3,-29.11,.194,0
100,194,2300,12.68,7.09,92.6,2.891,263.6,-29.63,.184,0
100,194,2315,12.68,7.14,92.5,2.785,248.3,-20.86,.164,0
100,194,2330,12.68,7.2,92.4,2.572,250.1,-35.12,.178,0
100,194,2345,12.68,7.18,92.4,3.211,237.5,-20.28,.174,0
100,194,2400,12.67,7.19,92.6,2.252,260.6,-14.91,.171,0
100,195,15,12.68,7.26,92.8,2.199,215,-15.04,.169,0
100,195,30,12.66,7.33,92.9,2.625,264.5,-16.12,.168,0
100,195,45,12.66,7.37,93.1,2.252,260.4,-16.2,.163,0
100,195,100,12.66,7.34,93.1,1.986,233.1,-25.94,.178,0
100,195,115,12.66,7.16,93.2,2.305,238.6,-56.14,.189,0
100,195,130,12.66,6.868,93.4,2.305,228.1,-67.27,.199,0
100,195,145,12.64,6.582,93.6,1.932,259.7,-71.7,.201,0
100,195,200,12.64,6.361,93.9,2.199,223.4,-70.2,.201,0
100,195,215,12.64,6.186,94.1,1.666,234.3,-66.66,.203,0
100,195,230,12.63,5.953,94.3,2.252,236.4,-64.01,.203,0
