"Plot Title: v2"
"#","Date Time, GMT-03:00","Volt, V (LGR S/N: 10463102, SEN S/N: 10463102)","Temp, °C (LGR S/N: 10463102, SEN S/N: 10463102)","Host Connected (LGR S/N: 10463102)","Stopped (LGR S/N: 10463102)","End Of File (LGR S/N: 10463102)"
1,10/18/19 03:55:40 PM,0.35653,21.461,,,
2,10/18/19 03:57:40 PM,0.35653,21.461,,,
3,10/18/19 03:59:40 PM,0.35653,21.461,,,
4,10/18/19 04:01:40 PM,0.35653,21.461,,,
5,10/18/19 04:03:40 PM,0.35653,21.509,,,
6,10/18/19 04:05:40 PM,0.35653,21.485,,,
7,10/18/19 04:07:40 PM,0.35653,21.485,,,
8,10/18/19 04:09:40 PM,0.35592,21.461,,,
9,10/18/19 04:11:40 PM,0.35653,21.413,,,
10,10/18/19 04:13:40 PM,0.35653,21.437,,,
11,10/18/19 04:15:40 PM,0.35592,21.461,,,
12,10/18/19 04:17:40 PM,0.35653,21.461,,,
13,10/18/19 04:19:40 PM,0.35592,21.485,,,
14,10/18/19 04:21:40 PM,0.35592,21.461,,,
15,10/18/19 04:23:40 PM,0.35592,21.461,,,
16,10/18/19 04:25:40 PM,0.35653,21.485,,,
17,10/18/19 04:27:40 PM,0.35592,21.485,,,
18,10/18/19 04:29:40 PM,0.35592,21.485,,,
19,10/18/19 04:31:40 PM,0.35592,21.485,,,
20,10/18/19 04:33:40 PM,0.35592,21.652,,,
21,10/18/19 04:35:40 PM,0.35592,21.628,,,
22,10/18/19 04:37:40 PM,0.35592,21.509,,,
23,10/18/19 04:39:40 PM,0.35592,21.533,,,
24,10/18/19 04:41:40 PM,0.35531,21.437,,,
25,10/18/19 04:43:40 PM,0.35531,21.461,,,
26,10/18/19 04:45:40 PM,0.35531,21.461,,,
27,10/18/19 04:47:40 PM,0.35531,21.461,,,
28,10/18/19 04:49:40 PM,0.35470,21.437,,,
29,10/18/19 04:51:40 PM,0.35470,21.461,,,
30,10/18/19 04:53:40 PM,0.35470,21.461,,,
31,10/18/19 04:55:40 PM,0.35470,21.509,,,
32,10/18/19 04:57:40 PM,0.35470,21.485,,,
33,10/18/19 04:59:40 PM,0.35409,21.604,,,
34,10/18/19 05:01:40 PM,0.35348,21.485,,,
35,10/18/19 05:03:40 PM,0.35348,21.533,,,
36,10/18/19 05:05:40 PM,0.35348,21.557,,,
37,10/18/19 05:07:40 PM,0.35348,21.366,,,
38,10/18/19 05:09:40 PM,0.35348,22.753,,,
39,10/18/19 05:11:40 PM,0.35287,21.366,,,
40,10/18/19 05:13:40 PM,0.35287,21.390,,,
41,10/18/19 05:15:40 PM,0.35287,21.390,,,
42,10/18/19 05:17:40 PM,0.35287,21.437,,,
43,10/18/19 05:19:40 PM,0.35287,21.557,,,
44,10/18/19 05:21:40 PM,0.35287,21.318,,,
45,10/18/19 05:23:40 PM,0.35287,21.342,,,
46,10/18/19 05:25:40 PM,0.35226,21.294,,,
47,10/18/19 05:27:40 PM,0.35226,21.318,,,
48,10/18/19 05:29:40 PM,0.35226,21.318,,,
49,10/18/19 05:31:40 PM,0.35226,21.294,,,
50,10/18/19 05:33:40 PM,0.35226,21.270,,,
51,10/18/19 05:35:40 PM,0.35226,21.533,,,
52,10/18/19 05:37:40 PM,0.35226,21.772,,,
53,10/18/19 05:39:40 PM,0.35165,21.557,,,
54,10/18/19 05:41:40 PM,0.35165,21.915,,,
55,10/18/19 05:43:40 PM,0.35226,21.223,,,
56,10/18/19 05:45:40 PM,0.35226,21.437,,,
57,10/18/19 05:47:40 PM,0.35165,21.199,,,
58,10/18/19 05:49:40 PM,0.35165,21.199,,,
59,10/18/19 05:51:40 PM,0.35165,21.175,,,
60,10/18/19 05:53:40 PM,0.35165,21.175,,,
61,10/18/19 05:55:40 PM,0.35165,21.151,,,
62,10/18/19 05:57:40 PM,0.35165,21.127,,,
63,10/18/19 05:59:40 PM,0.35165,21.103,,,
64,10/18/19 06:01:40 PM,0.35104,21.079,,,
65,10/18/19 06:03:40 PM,0.35104,21.079,,,
66,10/18/19 06:05:40 PM,0.35104,21.079,,,
67,10/18/19 06:07:40 PM,0.35104,21.056,,,
68,10/18/19 06:09:40 PM,0.35104,21.032,,,
