"Plot Title: V3"
"#","Date Time, GMT-03:00","Volt, V (LGR S/N: 10453365, SEN S/N: 10453365)","Host Connected (LGR S/N: 10453365)","Stopped (LGR S/N: 10453365)","End Of File (LGR S/N: 10453365)"
124,10/18/19 07:02:51 PM,2.21062,,,
125,10/18/19 07:04:51 PM,2.21062,,,
126,10/18/19 07:06:51 PM,2.21062,,,
127,10/18/19 07:08:51 PM,2.21123,,,
128,10/18/19 07:10:51 PM,2.21123,,,
129,10/18/19 07:12:51 PM,2.21123,,,
130,10/18/19 07:14:51 PM,2.21123,,,
131,10/18/19 07:16:51 PM,2.21123,,,
132,10/18/19 07:18:51 PM,2.21062,,,
133,10/18/19 07:20:51 PM,2.21123,,,
134,10/18/19 07:22:51 PM,2.21123,,,
135,10/18/19 07:24:51 PM,2.21123,,,
136,10/18/19 07:26:51 PM,2.21123,,,
137,10/18/19 07:28:51 PM,2.21123,,,
138,10/18/19 07:30:51 PM,2.21123,,,
139,10/18/19 07:32:51 PM,2.21123,,,
140,10/18/19 07:34:51 PM,2.21123,,,
141,10/18/19 07:36:51 PM,2.21123,,,
142,10/18/19 07:38:51 PM,2.21123,,,
143,10/18/19 07:40:51 PM,2.21123,,,
144,10/18/19 07:42:51 PM,2.21123,,,
145,10/18/19 07:44:51 PM,2.21123,,,
146,10/18/19 07:46:51 PM,2.21123,,,
147,10/18/19 07:48:51 PM,2.21123,,,
148,10/18/19 07:50:51 PM,2.21123,,,
149,10/18/19 07:52:51 PM,2.21123,,,
150,10/18/19 07:54:51 PM,2.21123,,,
151,10/18/19 07:56:51 PM,2.21123,,,
152,10/18/19 07:58:51 PM,2.21123,,,
153,10/18/19 08:00:51 PM,2.21123,,,
154,10/18/19 08:02:51 PM,2.21123,,,
155,10/18/19 08:04:51 PM,2.21123,,,
156,10/18/19 08:06:51 PM,2.21123,,,
157,10/18/19 08:08:51 PM,2.21123,,,
158,10/18/19 08:10:51 PM,2.21123,,,
159,10/18/19 08:12:51 PM,2.21123,,,
160,10/18/19 08:14:51 PM,2.21123,,,
161,10/18/19 08:16:51 PM,2.21123,,,
162,10/18/19 08:18:51 PM,2.21123,,,
163,10/18/19 08:20:51 PM,2.21123,,,
164,10/18/19 08:22:51 PM,2.21123,,,
