Site Name,FLUMEV3
Isco Quantity,Velocity
Label,Velocidad
Units,m/s
Resolution, 0,1 
Significant Digits,0

15/06/2023 01:14:00 p.m.,0,000
15/06/2023 01:16:00 p.m.,0,000
15/06/2023 01:18:00 p.m.,0,000
15/06/2023 01:20:00 p.m.,0,000
15/06/2023 01:22:00 p.m.,0,000
15/06/2023 01:24:00 p.m.,0,000
15/06/2023 01:26:00 p.m.,0,000
15/06/2023 01:28:00 p.m.,0,000
15/06/2023 01:30:00 p.m.,0,000
15/06/2023 01:32:00 p.m.,0,000
15/06/2023 01:34:00 p.m.,0,000
15/06/2023 01:36:00 p.m.,0,000
15/06/2023 01:38:00 p.m.,0,000
15/06/2023 01:40:00 p.m.,0,000
15/06/2023 01:42:00 p.m.,0,000
15/06/2023 01:44:00 p.m.,0,000
15/06/2023 01:46:00 p.m.,0,000
15/06/2023 01:48:00 p.m.,0,000
15/06/2023 01:50:00 p.m.,0,000
15/06/2023 01:52:00 p.m.,0,000
15/06/2023 01:54:00 p.m.,0,000
15/06/2023 01:56:00 p.m.,0,000
15/06/2023 01:58:00 p.m.,0,000
15/06/2023 02:00:00 p.m.,0,000
15/06/2023 02:02:00 p.m.,0,000
15/06/2023 02:04:00 p.m.,0,000
15/06/2023 02:06:00 p.m.,0,000
15/06/2023 02:08:00 p.m.,0,000
15/06/2023 02:10:00 p.m.,0,000
15/06/2023 02:12:00 p.m.,0,000
15/06/2023 02:14:00 p.m.,0,000
15/06/2023 02:16:00 p.m.,0,000
15/06/2023 02:18:00 p.m.,0,000
15/06/2023 02:20:00 p.m.,0,000
15/06/2023 02:22:00 p.m.,0,000
15/06/2023 02:24:00 p.m.,0,000
15/06/2023 02:26:00 p.m.,0,000
15/06/2023 02:28:00 p.m.,0,000
15/06/2023 02:30:00 p.m.,0,000
15/06/2023 02:32:00 p.m.,0,000
15/06/2023 02:34:00 p.m.,0,000
15/06/2023 02:36:00 p.m.,0,000
15/06/2023 02:38:00 p.m.,0,000
15/06/2023 02:40:00 p.m.,0,000
15/06/2023 02:42:00 p.m.,0,000
