"Plot Title: r1"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10323477, SEN S/N: 10323477)","Event, units (LGR S/N: 10323477, SEN S/N: 10323477)","Coupler Attached (LGR S/N: 10323477)","Stopped (LGR S/N: 10323477)","End Of File (LGR S/N: 10323477)"
123,11/04/19 01:46:00 AM,15.473,,,,
124,11/04/19 02:46:00 AM,15.091,,,,
125,11/04/19 03:46:00 AM,16.046,,,,
126,11/04/19 04:46:00 AM,16.618,,,,
127,11/04/19 05:46:00 AM,16.523,,,,
128,11/04/19 06:46:00 AM,17.094,,,,
129,11/04/19 06:57:10 AM,,66.00,,,
130,11/04/19 07:09:36 AM,,67.00,,,
131,11/04/19 07:15:10 AM,,68.00,,,
132,11/04/19 07:25:20 AM,,69.00,,,
133,11/04/19 07:28:57 AM,,70.00,,,
134,11/04/19 07:32:00 AM,,71.00,,,
135,11/04/19 07:38:35 AM,,72.00,,,
136,11/04/19 07:46:00 AM,17.855,,,,
137,11/04/19 07:47:56 AM,,73.00,,,
138,11/04/19 07:57:07 AM,,74.00,,,
139,11/04/19 08:02:04 AM,,75.00,,,
140,11/04/19 08:46:00 AM,18.616,,,,
141,11/04/19 09:10:16 AM,,76.00,,,
142,11/04/19 09:46:00 AM,20.043,,,,
143,11/04/19 10:46:00 AM,21.664,,,,
144,11/04/19 11:46:00 AM,21.855,,,,
145,11/04/19 12:46:00 PM,21.664,,,,
146,11/04/19 12:51:19 PM,,77.00,,,
147,11/04/19 12:59:57 PM,,78.00,,,
148,11/04/19 01:01:50 PM,,79.00,,,
149,11/04/19 01:03:19 PM,,80.00,,,
150,11/04/19 01:04:07 PM,,81.00,,,
151,11/04/19 01:05:41 PM,,82.00,,,
152,11/04/19 01:06:58 PM,,83.00,,,
153,11/04/19 01:08:31 PM,,84.00,,,
154,11/04/19 01:09:35 PM,,85.00,,,
155,11/04/19 01:10:41 PM,,86.00,,,
156,11/04/19 01:11:52 PM,,87.00,,,
157,11/04/19 01:13:34 PM,,88.00,,,
158,11/04/19 01:15:20 PM,,89.00,,,
159,11/04/19 01:17:15 PM,,90.00,,,
160,11/04/19 01:19:01 PM,,91.00,,,
161,11/04/19 01:22:00 PM,,92.00,,,
162,11/04/19 01:25:15 PM,,93.00,,,
163,11/04/19 01:28:32 PM,,94.00,,,
164,11/04/19 01:31:44 PM,,95.00,,,
165,11/04/19 01:34:46 PM,,96.00,,,
166,11/04/19 01:37:52 PM,,97.00,,,
167,11/04/19 01:41:30 PM,,98.00,,,
168,11/04/19 01:44:51 PM,,99.00,,,
169,11/04/19 01:46:00 PM,20.519,,,,
170,11/04/19 01:48:25 PM,,100.00,,,
171,11/04/19 01:50:27 PM,,101.00,,,
172,11/04/19 01:53:21 PM,,102.00,,,
173,11/04/19 01:56:59 PM,,103.00,,,
174,11/04/19 02:02:42 PM,,104.00,,,
175,11/04/19 02:07:44 PM,,105.00,,,
176,11/04/19 02:12:47 PM,,106.00,,,
177,11/04/19 02:19:08 PM,,107.00,,,
178,11/04/19 02:45:13 PM,,108.00,,,
179,11/04/19 02:46:00 PM,20.043,,,,
180,11/04/19 02:57:35 PM,,109.00,,,
181,11/04/19 03:01:53 PM,,110.00,,,
182,11/04/19 03:05:06 PM,,111.00,,,
183,11/04/19 03:07:59 PM,,112.00,,,
184,11/04/19 03:09:44 PM,,113.00,,,
185,11/04/19 03:11:52 PM,,114.00,,,
186,11/04/19 03:13:43 PM,,115.00,,,
187,11/04/19 03:15:31 PM,,116.00,,,
188,11/04/19 03:17:19 PM,,117.00,,,
189,11/04/19 03:19:54 PM,,118.00,,,
190,11/04/19 03:22:13 PM,,119.00,,,
191,11/04/19 03:24:51 PM,,120.00,,,
192,11/04/19 03:27:10 PM,,121.00,,,
193,11/04/19 03:29:23 PM,,122.00,,,
