"Plot Title: r4"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10075968, SEN S/N: 10075968)","Evento, unidades (LGR S/N: 10075968, SEN S/N: 10075968)","Coupler Attached (LGR S/N: 10075968)","Coupler Detached (LGR S/N: 10075968)","Stopped (LGR S/N: 10075968)","End Of File (LGR S/N: 10075968)"
117,11/03/19 10:05:23 AM,19.758,,,,,
118,11/03/19 11:05:23 AM,22.142,,,,,
119,11/03/19 12:05:23 PM,24.158,,,,,
120,11/03/19 12:13:59 PM,,71.00,,,,
121,11/03/19 01:05:23 PM,24.931,,,,,
122,11/03/19 02:05:23 PM,25.416,,,,,
123,11/03/19 03:05:23 PM,25.708,,,,,
124,11/03/19 04:05:23 PM,25.319,,,,,
125,11/03/19 05:05:23 PM,24.641,,,,,
126,11/03/19 06:05:23 PM,21.855,,,,,
127,11/03/19 07:05:23 PM,19.472,,,,,
128,11/03/19 08:05:23 PM,17.665,,,,,
129,11/03/19 09:05:23 PM,17.189,,,,,
130,11/03/19 10:05:23 PM,16.903,,,,,
131,11/03/19 11:05:23 PM,16.523,,,,,
132,11/04/19 12:05:23 AM,16.523,,,,,
133,11/04/19 01:05:23 AM,16.999,,,,,
134,11/04/19 02:05:23 AM,16.237,,,,,
135,11/04/19 03:05:23 AM,16.237,,,,,
136,11/04/19 04:05:23 AM,16.903,,,,,
137,11/04/19 05:05:23 AM,17.189,,,,,
138,11/04/19 06:05:23 AM,16.903,,,,,
139,11/04/19 06:58:28 AM,,72.00,,,,
140,11/04/19 07:05:23 AM,17.475,,,,,
141,11/04/19 07:12:47 AM,,73.00,,,,
142,11/04/19 07:18:12 AM,,74.00,,,,
143,11/04/19 07:29:44 AM,,75.00,,,,
144,11/04/19 07:32:45 AM,,76.00,,,,
145,11/04/19 07:38:56 AM,,77.00,,,,
146,11/04/19 07:45:50 AM,,78.00,,,,
147,11/04/19 07:55:21 AM,,79.00,,,,
148,11/04/19 08:00:02 AM,,80.00,,,,
149,11/04/19 08:05:23 AM,18.045,,,,,
150,11/04/19 08:07:57 AM,,81.00,,,,
151,11/04/19 09:05:23 AM,18.901,,,,,
152,11/04/19 09:14:02 AM,,82.00,,,,
153,11/04/19 10:05:23 AM,19.853,,,,,
154,11/04/19 11:05:23 AM,22.142,,,,,
155,11/04/19 12:05:23 PM,21.664,,,,,
156,11/04/19 12:56:16 PM,,83.00,,,,
157,11/04/19 01:02:02 PM,,84.00,,,,
158,11/04/19 01:04:33 PM,,85.00,,,,
159,11/04/19 01:05:23 PM,20.901,,,,,
160,11/04/19 01:05:54 PM,,86.00,,,,
161,11/04/19 01:05:55 PM,,87.00,,,,
162,11/04/19 01:07:00 PM,,88.00,,,,
163,11/04/19 01:07:40 PM,,89.00,,,,
164,11/04/19 01:08:21 PM,,90.00,,,,
165,11/04/19 01:08:57 PM,,91.00,,,,
166,11/04/19 01:09:53 PM,,92.00,,,,
167,11/04/19 01:10:48 PM,,93.00,,,,
168,11/04/19 01:12:24 PM,,94.00,,,,
169,11/04/19 01:13:26 PM,,95.00,,,,
